name,code,description,layer,parent
Dhaka East,Dhaka East,Dhaka East,Wing,
Dhaka West,Dhaka West,Dhaka West,Wing,
Ctg Wing,Ctg Wing,Ctg Wing,Wing,
Comilla Wing,Comilla Wing,Comilla Wing,Wing,
Sylhet wing,Sylhet wing,Sylhet wing,Wing,
North Bengal,North Bengal,North Bengal,Wing,
South Bengal,South Bengal,South Bengal,Wing,
PL-A(Dhaka East),PL-A(Dhaka East),PL-A(Dhaka East),PL,Dhaka East
PL-A(Dhaka West),PL-A(Dhaka West),PL-A(Dhaka West),PL,Dhaka West
PL-A(Ctg Wing),PL-A(Ctg Wing),PL-A(Ctg Wing),PL,Ctg Wing
PL-A(Comilla Wing),PL-A(Comilla Wing),PL-A(Comilla Wing),PL,Comilla Wing
PL-A(Sylhet wing),PL-A(Sylhet wing),PL-A(Sylhet wing),PL,Sylhet wing
PL-A(North Bengal),PL-A(North Bengal),PL-A(North Bengal),PL,North Bengal
PL-A(South Bengal),PL-A(South Bengal),PL-A(South Bengal),PL,South Bengal
PL-B(Dhaka East),PL-B(Dhaka East),PL-B(Dhaka East),PL,Dhaka East
PL-B(Dhaka West ),PL-B(Dhaka West ),PL-B(Dhaka West ),PL,Dhaka West
PL-B(Ctg Wing),PL-B(Ctg Wing),PL-B(Ctg Wing),PL,Ctg Wing
PL-B(Comilla),PL-B(Comilla),PL-B(Comilla),PL,Comilla Wing
PL-B(Sylhet),PL-B(Sylhet),PL-B(Sylhet),PL,Sylhet wing
PL-B(North Bengal),PL-B(North Bengal),PL-B(North Bengal),PL,North Bengal
PL-B(South Bengal),PL-B(South Bengal),PL-B(South Bengal),PL,South Bengal
PL-C(Dhaka East),PL-C(Dhaka East),PL-C(Dhaka East),PL,Dhaka East
PL-C(Dhaka West),PL-C(Dhaka West),PL-C(Dhaka West),PL,Dhaka West
PL-C(Chittagong Wing),PL-C(Chittagong Wing),PL-C(Chittagong Wing),PL,Ctg Wing
PL-C(Comilla Wing),PL-C(Comilla Wing),PL-C(Comilla Wing),PL,Comilla Wing
PL-C(Sylhet),PL-C(Sylhet),PL-C(Sylhet),PL,Sylhet wing
PL-C(North Bengal),PL-C(North Bengal),PL-C(North Bengal),PL,North Bengal
PL-C(South Bengal),PL-C(South Bengal),PL-C(South Bengal),PL,South Bengal
Narayanganj[Div](A),Narayanganj[Div](A),Narayanganj[Div](A),Division,PL-A(Dhaka East)
Dhaka South[Div](A),Dhaka South[Div](A),Dhaka South[Div](A),Division,PL-A(Dhaka East)
Dhaka North[Div](A),Dhaka North[Div](A),Dhaka North[Div](A),Division,PL-A(Dhaka East)
Dhaka Metro[Div](A),Dhaka Metro[Div](A),Dhaka Metro[Div](A),Division,PL-A(Dhaka West)
Gazipur[Div](A),Gazipur[Div](A),Gazipur[Div](A),Division,PL-A(Dhaka West)
Mymensingh[Div](A),Mymensingh[Div](A),Mymensingh[Div](A),Division,PL-A(Dhaka West)
Chittagong-1[Div](A),Chittagong-1[Div](A),Chittagong-1[Div](A),Division,PL-A(Ctg Wing)
Chittagong-2[Div](A),Chittagong-2[Div](A),Chittagong-2[Div](A),Division,PL-A(Ctg Wing)
Noakhali[Div](A),Noakhali[Div](A),Noakhali[Div](A),Division,PL-A(Comilla Wing)
Comilla[Div](A),Comilla[Div](A),Comilla[Div](A),Division,PL-A(Comilla Wing)
Sylhet[Div](A),Sylhet[Div](A),Sylhet[Div](A),Division,PL-A(Sylhet wing)
Rangpur[Div](A),Rangpur[Div](A),Rangpur[Div](A),Division,PL-A(North Bengal)
Bogra[Div](A),Bogra[Div](A),Bogra[Div](A),Division,PL-A(North Bengal)
Khulna[Div](A),Khulna[Div](A),Khulna[Div](A),Division,PL-A(South Bengal)
Barisal[Div](A),Barisal[Div](A),Barisal[Div](A),Division,PL-A(South Bengal)
Narayangonj[Reg](A),Narayangonj[Reg](A),Narayangonj[Reg](A),Region,Narayanganj[Div](A)
Narshingdi[Reg](A),Narshingdi[Reg](A),Narshingdi[Reg](A),Region,Narayanganj[Div](A)
Khilgaon[Reg](A),Khilgaon[Reg](A),Khilgaon[Reg](A),Region,Dhaka South[Div](A)
Jatrabari[Reg](A),Jatrabari[Reg](A),Jatrabari[Reg](A),Region,Dhaka South[Div](A)
Gulshan[Reg](A),Gulshan[Reg](A),Gulshan[Reg](A),Region,Dhaka North[Div](A)
Uttara[Reg](A),Uttara[Reg](A),Uttara[Reg](A),Region,Dhaka North[Div](A)
Mirpur[Reg](A),Mirpur[Reg](A),Mirpur[Reg](A),Region,Dhaka Metro[Div](A)
Mohammadpur[Reg](A),Mohammadpur[Reg](A),Mohammadpur[Reg](A),Region,Dhaka Metro[Div](A)
Lalbag[Reg](A),Lalbag[Reg](A),Lalbag[Reg](A),Region,Dhaka Metro[Div](A)
Gazipur[Reg](A),Gazipur[Reg](A),Gazipur[Reg](A),Region,Gazipur[Div](A)
Savar[Reg](A),Savar[Reg](A),Savar[Reg](A),Region,Gazipur[Div](A)
Mymensingh[Reg](A),Mymensingh[Reg](A),Mymensingh[Reg](A),Region,Mymensingh[Div](A)
Tangail[Reg](A),Tangail[Reg](A),Tangail[Reg](A),Region,Mymensingh[Div](A)
Ctg. North[Reg](A),Ctg. North[Reg](A),Ctg. North[Reg](A),Region,Chittagong-1[Div](A)
Potiya[Reg](A),Potiya[Reg](A),Potiya[Reg](A),Region,Chittagong-1[Div](A)
Cox's Bazar[Reg](A),Cox's Bazar[Reg](A),Cox's Bazar[Reg](A),Region,Chittagong-1[Div](A)
Ctg. Metro[Reg](A),Ctg. Metro[Reg](A),Ctg. Metro[Reg](A),Region,Chittagong-2[Div](A)
Hathazari[Reg](A),Hathazari[Reg](A),Hathazari[Reg](A),Region,Chittagong-2[Div](A)
Direct Party[Reg](A),Direct Party[Reg](A),Direct Party[Reg](A),Region,Chittagong-2[Div](A)
Noakhali[Reg](A),Noakhali[Reg](A),Noakhali[Reg](A),Region,Noakhali[Div](A)
Feni[Reg](A),Feni[Reg](A),Feni[Reg](A),Region,Noakhali[Div](A)
Comilla[Reg](A),Comilla[Reg](A),Comilla[Reg](A),Region,Comilla[Div](A)
Chandpur[Reg](A),Chandpur[Reg](A),Chandpur[Reg](A),Region,Comilla[Div](A)
B. Baria[Reg](A),B. Baria[Reg](A),B. Baria[Reg](A),Region,Comilla[Div](A)
Sylhet North[Reg](A),Sylhet North[Reg](A),Sylhet North[Reg](A),Region,Sylhet[Div](A)
Sylhet South[Reg](A),Sylhet South[Reg](A),Sylhet South[Reg](A),Region,Sylhet[Div](A)
Sreemangal[Reg](A),Sreemangal[Reg](A),Sreemangal[Reg](A),Region,Sylhet[Div](A)
Rangpur[Reg](A),Rangpur[Reg](A),Rangpur[Reg](A),Region,Rangpur[Div](A)
Dinajpur[Reg](A),Dinajpur[Reg](A),Dinajpur[Reg](A),Region,Rangpur[Div](A)
Bogra[Reg](A),Bogra[Reg](A),Bogra[Reg](A),Region,Bogra[Div](A)
Rajshahi[Reg](A),Rajshahi[Reg](A),Rajshahi[Reg](A),Region,Bogra[Div](A)
Khulna[Reg](A),Khulna[Reg](A),Khulna[Reg](A),Region,Khulna[Div](A)
Jessore[Reg](A),Jessore[Reg](A),Jessore[Reg](A),Region,Khulna[Div](A)
Barisal[Reg](A),Barisal[Reg](A),Barisal[Reg](A),Region,Barisal[Div](A)
Potuakhali[Reg](A),Potuakhali[Reg](A),Potuakhali[Reg](A),Region,Barisal[Div](A)
Faridpur[Reg](A),Faridpur[Reg](A),Faridpur[Reg](A),Region,Barisal[Div](A)
Narayangonj[Terr](A),Narayangonj[Terr](A),Narayangonj[Terr](A),Territory,Narayangonj[Reg](A)
Fatulla[Terr](A),Fatulla[Terr](A),Fatulla[Terr](A),Territory,Narayangonj[Reg](A)
Adamjee[Terr](A),Adamjee[Terr](A),Adamjee[Terr](A),Territory,Narayangonj[Reg](A)
Sonargaon[Terr](A),Sonargaon[Terr](A),Sonargaon[Terr](A),Territory,Narayangonj[Reg](A)
